fts,updated,id,home_team,away_team,kick_off,score,odd1,oddX,odd2,area_name,competition_name,datetime
,2017-06-07 11:17:54.511624,0,USFAS Bamako,Real Bamako,20:30,,2.60,2.70,2.80,Mali, Premiere Division,2017-06-06 20:30:00
"(1:0, 1:1)",2017-06-07 11:17:54.514097,0,Algeria,Guinea,23:00,2:1,,,,World, Friendly International,2017-06-06 23:00:00
,2017-06-07 11:17:54.514850,,,,,,,,,Brazil, Série B,
,2017-06-07 11:17:54.515489,,,,,,,,,Brazil, Série A,
,2017-06-07 11:17:54.516111,,,,,,,,,Argentina, Primera B Metropolitana,
,2017-06-07 11:17:54.516745,,,,,,,,,Brazil, Série B,
,2017-06-07 11:17:54.517370,,,,,,,,,USA, USL,
,2017-06-07 11:17:54.518023,,,,,,,,,World, World Cup,
,2017-06-07 11:17:54.518690,,,,,,,,,Czech Republic, U19 League,
,2017-06-07 11:17:54.519353,,,,,,,,,World, Friendly International,
,2017-06-07 11:17:54.519978,,,,,,,,,Czech Republic, U19 League,
,2017-06-07 11:17:54.520624,,,,,,,,,Mauritius, Mauritian League,
,2017-06-07 11:17:54.521262,,,,,,,,,World, Friendly International,
,2017-06-07 11:17:54.521875,,,,,,,,,South Africa, First Division,
,2017-06-07 11:17:54.522495,,,,,,,,,Indonesia, Liga 1,
,2017-06-07 11:17:54.523107,,,,,,,,,Mauritius, Mauritian League,
,2017-06-07 11:17:54.523724,,,,,,,,,Cameroon, Elite One,
,2017-06-07 11:17:54.524315,,,,,,,,,Europe, Euro U19 Women,
,2017-06-07 11:17:54.524904,,,,,,,,,World, Friendly International Women,
,2017-06-07 11:17:54.525491,,,,,,,,,Czech Republic, CFL,
,2017-06-07 11:17:54.526079,,,,,,,,,Czech Republic, MSFL,
,2017-06-07 11:17:54.526663,,,,,,,,,FYR of Macedonia, First League,
,2017-06-07 11:17:54.527286,,,,,,,,,Nigeria, Premier League,
,2017-06-07 11:17:54.527903,,,,,,,,,Slovakia, Divison C West,
,2017-06-07 11:17:54.528534,,,,,,,,,World, Friendly International,
,2017-06-07 11:17:54.529142,,,,,,,,,Finland, Ykkonen,
,2017-06-07 11:17:54.529737,,,,,,,,,Poland, III Liga - Group IV,
,2017-06-07 11:17:54.530347,,,,,,,,,Algeria, Division 1,
,2017-06-07 11:17:54.530938,,,,,,,,,Czech Republic, MSFL,
,2017-06-07 11:17:54.531539,,,,,,,,,Europe, Euro U21,
,2017-06-07 11:17:54.532124,,,,,,,,,Europe, Euro U19 Women,
,2017-06-07 11:17:54.532713,,,,,,,,,Germany, Oberliga Play Offs,
,2017-06-07 11:17:54.533300,,,,,,,,,Italy, Primavera - Final Stage,
,2017-06-07 11:17:54.533892,,,,,,,,,Poland, III Liga - Group III,
,2017-06-07 11:17:54.534481,,,,,,,,,Poland, III Liga - Group IV,
,2017-06-07 11:17:54.535070,,,,,,,,,World, Friendly International,
,2017-06-07 11:17:54.535658,,,,,,,,,World, Club Friendly,
,2017-06-07 11:17:54.536221,,,,,,,,,Austria, Regionalliga Central,
,2017-06-07 11:17:54.536790,,,,,,,,,Sweden, Svenska Cupen,
,2017-06-07 11:17:54.537357,,,,,,,,,World, Friendly International,
,2017-06-07 11:17:54.537927,,,,,,,,,Croatia, 1. HNL,
,2017-06-07 11:17:54.538495,,,,,,,,,Sweden, Svenska Cupen,
,2017-06-07 11:17:54.539089,,,,,,,,,Switzerland, 1.Liga Classic Play Offs,
,2017-06-07 11:17:54.539680,,,,,,,,,Argentina, Copa Argentina,
,2017-06-07 11:17:54.540259,,,,,,,,,World, Friendly International,
,2017-06-07 11:17:54.540828,,,,,,,,,Iceland, Inkasso-deildin,
,2017-06-07 11:17:54.541398,,,,,,,,,World, Friendly International,
,2017-06-07 11:17:54.541963,,,,,,,,,Ecuador, Serie A,
,2017-06-07 11:17:54.542529,,,,,,,,,Argentina, Copa Argentina,
,2017-06-07 11:17:54.543137,,,,,,,,,Algeria, Division 1,
,2017-06-07 11:17:54.543720,,,,,,,,,Brazil, Série A,
,2017-06-07 11:17:54.544294,,,,,,,,,USA, North American Soccer League,
